Algorithm,DataSet,FeatureCount,RMSE.ByRating,RMSE.ByUser,nDCG,TopN.nDCG
SVDPersMean,PartialData,10,0.882633339,0.80486353,0.9673176,0.159897697
SVDUserMean,PartialData,15,0.92332453,0.843498584,0.961096351,0.154140076
SVDItemMean,PartialData,15,0.919466626,0.848591651,0.965723494,0.160603757
SVDGlobalMean,PartialData,20,0.961487047,0.891258926,0.96019805,0.160440411
SVDPersMean,PartialData,15,0.884543891,0.806486351,0.966273387,0.159062797
SVDUserMean,PartialData,20,0.923374508,0.844623499,0.961138357,0.154878318
SVDGlobalMean,PartialData,25,0.96938157,0.898746749,0.959037495,0.158583248
SVDItemMean,PartialData,20,0.926253635,0.854439901,0.965447006,0.160725994
SVDPersMean,PartialData,20,0.884236523,0.807067544,0.96594505,0.162546594
SVDUserMean,PartialData,25,0.927730102,0.849170275,0.958749733,0.154882259
SVDItemMean,PartialData,25,0.930271563,0.859028636,0.964571236,0.161297489
SVDGlobalMean,PartialData,30,0.974912978,0.90443705,0.958321242,0.154910266
SVDPersMean,PartialData,25,0.888336152,0.810606641,0.965761423,0.159667385
SVDUserMean,PartialData,30,0.932507169,0.853911667,0.958194253,0.154397478
SVDItemMean,PartialData,30,0.934777789,0.863516584,0.965319705,0.159027215
SVDGlobalMean,PartialData,40,0.993170186,0.92226911,0.953689061,0.141742815
SVDPersMean,PartialData,30,0.888785827,0.812267271,0.965849421,0.160740649
SVDUserMean,PartialData,40,0.942342444,0.862866029,0.955903173,0.138017928
SVDItemMean,PartialData,40,0.949166382,0.87597294,0.964276482,0.160985865
SVDGlobalMean,PartialData,50,1.007546366,0.935845208,0.952336983,0.131852474
SVDPersMean,PartialData,40,0.897144754,0.8182149,0.964903482,0.159106503
SVDItemMean,PartialData,50,0.960816889,0.887168336,0.963593808,0.155818642
SVDPersMean,PartialData,50,0.903578594,0.824094642,0.964689916,0.153980327
SVDUserMean,PartialData,50,0.955752684,0.874645161,0.952716545,0.131835242
