Algorithm,DataSet,FeatureCount,RMSE.ByRating,RMSE.ByUser,nDCG,TopN.nDCG
SVDGlobalMean,FullData,5,0.883833159,0.811319759,0.96659908,0.443074557
SVDItemMean,FullData,5,0.870185041,0.797660912,0.967530245,0.429414472
SVDUserMean,FullData,5,0.862142681,0.784546266,0.967835129,0.438640719
SVDPersMean,FullData,5,0.850546971,0.773577353,0.968166995,0.426089529
SVDGlobalMean,FullData,10,0.865115069,0.792054543,0.967697991,0.464397128
SVDItemMean,FullData,10,0.85375938,0.780181143,0.970359349,0.444045993
SVDUserMean,FullData,10,0.850021194,0.771937193,0.969013628,0.44951646
SVDPersMean,FullData,10,0.832529635,0.75517471,0.970213958,0.436452459
SVDGlobalMean,FullData,15,0.860830518,0.786856358,0.968875657,0.466357812
SVDItemMean,FullData,15,0.849746327,0.774677672,0.971200946,0.448893764
SVDUserMean,FullData,15,0.841773926,0.764742845,0.969933844,0.458324529
SVDPersMean,FullData,15,0.825014613,0.747168416,0.970592353,0.440992082
SVDGlobalMean,FullData,20,0.867038487,0.791435696,0.968784513,0.462350243
SVDItemMean,FullData,20,0.850717977,0.774956485,0.970812838,0.446178339
SVDUserMean,FullData,20,0.848082375,0.768394805,0.968911945,0.452801929
SVDGlobalMean,FullData,25,0.882408592,0.804711254,0.967495479,0.455840248
SVDPersMean,FullData,20,0.825656632,0.747149067,0.970627387,0.439248409
SVDUserMean,FullData,25,0.858557417,0.777975494,0.96713572,0.439934163
SVDItemMean,FullData,25,0.860308416,0.783447299,0.970319637,0.443144075
SVDGlobalMean,FullData,30,0.897687422,0.819016966,0.966031482,0.449449032
SVDPersMean,FullData,25,0.827698317,0.749455485,0.97052976,0.4319124
SVDUserMean,FullData,30,0.867779722,0.785369867,0.966640654,0.433607391
SVDItemMean,FullData,30,0.870319959,0.792326347,0.969362974,0.440755596
SVDGlobalMean,FullData,40,0.922027736,0.840484656,0.963291419,0.437541914
SVDPersMean,FullData,30,0.836943664,0.755828564,0.969493009,0.430816511
SVDUserMean,FullData,40,0.881923201,0.798807073,0.964148222,0.422963448
SVDItemMean,FullData,40,0.889253147,0.808695687,0.968595774,0.430175354
SVDPersMean,FullData,40,0.844839724,0.763646901,0.969308413,0.425403708
SVDGlobalMean,FullData,50,0.943339727,0.862143921,0.961383,0.425775539
PersMean,FullData,,0.884612442,0.814179166,0.961967283,0.383983977
SVDItemMean,FullData,50,0.906657477,0.825965525,0.967924086,0.422672309
SVDUserMean,FullData,50,0.893590606,0.811061071,0.962113652,0.410749828
ItemItem,FullData,,0.819680822,0.753024446,0.963512212,0.396708113
SVDPersMean,FullData,50,0.851743944,0.77193902,0.968692377,0.41487946
SVDGlobalMean,FullData,1,0.95671121,0.901698184,0.94731829,0.309992945
SVDItemMean,FullData,1,0.899878711,0.835138452,0.96189429,0.387452122
SVDUserMean,FullData,1,0.880606209,0.811896617,0.962492584,0.376368737
SVDPersMean,FullData,1,0.863485431,0.792225299,0.964553424,0.389432956
SVDGlobalMean,FullData,5,0.86162524,0.798998411,0.967525335,0.45106524
SVDItemMean,FullData,5,0.846998861,0.784516857,0.968222424,0.4256098
SVDUserMean,FullData,5,0.83635889,0.770634133,0.968358448,0.432009314
SVDPersMean,FullData,5,0.827300015,0.760976616,0.968417077,0.416623503
SVDGlobalMean,FullData,10,0.840512807,0.77844043,0.969880831,0.463125296
SVDItemMean,FullData,10,0.827826772,0.765241614,0.970517148,0.440322402
SVDUserMean,FullData,10,0.821352374,0.756818275,0.970043832,0.452301009
SVDPersMean,FullData,10,0.807268282,0.74136051,0.97060966,0.430578367
SVDGlobalMean,FullData,15,0.836667775,0.775042852,0.971254171,0.468019772
SVDUserMean,FullData,15,0.817660544,0.752437408,0.970994578,0.454262618
SVDItemMean,FullData,15,0.822476468,0.759836836,0.971239927,0.443537906
SVDPersMean,FullData,15,0.801906328,0.735851988,0.970770399,0.43460125
SVDGlobalMean,FullData,20,0.83869857,0.777274156,0.970105483,0.463364832
SVDItemMean,FullData,20,0.823058311,0.760468975,0.970530939,0.441632598
SVDUserMean,FullData,20,0.820975773,0.754636667,0.969690388,0.450057605
SVDPersMean,FullData,20,0.799331327,0.733366599,0.971366019,0.429670523
SVDGlobalMean,FullData,25,0.854554901,0.791852142,0.968448994,0.456908788
SVDUserMean,FullData,25,0.8275687,0.761703655,0.969194416,0.442507449
SVDItemMean,FullData,25,0.829068114,0.765786919,0.970372603,0.436231334
SVDPersMean,FullData,25,0.801535463,0.735147008,0.971242573,0.425294336
SVDGlobalMean,FullData,30,0.861830156,0.798072564,0.968564035,0.451665356
SVDUserMean,FullData,30,0.832429497,0.766487619,0.968905768,0.440991966
SVDItemMean,FullData,30,0.835551893,0.771575187,0.970772346,0.435010897
SVDGlobalMean,FullData,40,0.884840354,0.820673123,0.96687588,0.43960142
SVDPersMean,FullData,30,0.802238294,0.735426336,0.971390823,0.422299524
SVDUserMean,FullData,40,0.844232982,0.777849893,0.966928615,0.420460271
SVDItemMean,FullData,40,0.852088998,0.786590205,0.970709513,0.426643054
SVDGlobalMean,FullData,50,0.902197219,0.839645292,0.963356184,0.420824973
SVDPersMean,FullData,40,0.810034665,0.742058741,0.971592707,0.413397973
PersMean,FullData,,0.908674029,0.831539214,0.961903637,0.378305924
ItemItem,FullData,,0.854483063,0.778810807,0.966240947,0.381800597
SVDItemMean,FullData,50,0.864414683,0.799975273,0.970051065,0.421240871
SVDUserMean,FullData,50,0.852236937,0.787877151,0.964433162,0.406149209
SVDPersMean,FullData,50,0.813935941,0.747180901,0.970645261,0.4088302
SVDGlobalMean,FullData,1,0.976187047,0.914375995,0.946544618,0.2939522
SVDItemMean,FullData,1,0.92019554,0.849074642,0.962321356,0.383266651
SVDUserMean,FullData,1,0.907679756,0.832451107,0.95954159,0.366380585
SVDPersMean,FullData,1,0.885093339,0.808919449,0.964411315,0.390166618
SVDGlobalMean,FullData,5,0.882554741,0.816223355,0.967059337,0.443107831
SVDItemMean,FullData,5,0.869163967,0.801555783,0.967025191,0.426959287
SVDGlobalMean,FullData,10,0.866602958,0.799732398,0.967308632,0.456692338
SVDUserMean,FullData,5,0.866078752,0.793416584,0.96844419,0.422865741
SVDPersMean,FullData,5,0.85140811,0.778369331,0.968806221,0.415423519
SVDUserMean,FullData,10,0.85085762,0.779143074,0.969110291,0.43498704
SVDItemMean,FullData,10,0.850142035,0.782451097,0.969656065,0.442375777
SVDGlobalMean,FullData,15,0.860812619,0.794369865,0.969896308,0.455735219
SVDPersMean,FullData,10,0.832348633,0.759570339,0.97111109,0.42481978
SVDUserMean,FullData,15,0.84533178,0.774482329,0.970159786,0.435552137
SVDItemMean,FullData,15,0.845107586,0.777436906,0.970129594,0.443466238
SVDGlobalMean,FullData,20,0.87085961,0.80354708,0.968780215,0.454839209
SVDPersMean,FullData,15,0.828237979,0.755089549,0.970345837,0.426633058
SVDUserMean,FullData,20,0.852617577,0.780564687,0.968841495,0.432646146
SVDItemMean,FullData,20,0.851047764,0.782711854,0.970750529,0.440580874
SVDGlobalMean,FullData,25,0.88013261,0.811562837,0.968090166,0.454236748
SVDPersMean,FullData,20,0.829671145,0.757030161,0.970718285,0.424787848
SVDUserMean,FullData,25,0.858522362,0.78484813,0.968481039,0.431027905
SVDItemMean,FullData,25,0.858673252,0.789832929,0.970556953,0.436815563
SVDGlobalMean,FullData,30,0.889025617,0.818489478,0.967489394,0.448645135
SVDPersMean,FullData,25,0.837117397,0.762196067,0.970500906,0.421710551
SVDUserMean,FullData,30,0.864752242,0.788789017,0.96822626,0.427910404
SVDItemMean,FullData,30,0.868116002,0.795463054,0.969909399,0.439583045
SVDPersMean,FullData,30,0.841324079,0.764140899,0.969917327,0.424038117
SVDGlobalMean,FullData,40,0.915716752,0.842391723,0.965550603,0.434046363
SVDUserMean,FullData,40,0.879820963,0.801835311,0.964791683,0.412548473
